window,vault_id,min,percentile25,percentile50,percentile75,max,count,latency,throughput
1719670724000,1117,4432.000000,18093.000000,20380.000000,23072.000000,31532.000000,18,2000,388.000000
1719670724000,1118,37574.000000,37623.000000,37627.000000,37631.000000,37636.000000,38,2000,388.000000
1719670724000,1119,16571.000000,18462.250000,21039.000000,23099.250000,23715.000000,25,2000,388.000000
1719670724000,1120,269.000000,36111.000000,36115.500000,36122.000000,36128.000000,34,2000,388.000000
1719670726000,1090,16847.000000,49549.750000,49572.000000,49576.500000,54415.000000,25,2000,391.000000
1719670726000,1091,17440.000000,49261.000000,49266.500000,49271.000000,49275.000000,18,2000,391.000000
1719670726000,1092,45182.000000,48980.000000,48983.500000,48991.000000,48999.000000,22,2000,391.000000
1719670726000,1093,3074.000000,48615.250000,48621.000000,48623.750000,48635.000000,31,2000,391.000000
1719670726000,1094,15809.000000,17291.000000,19690.500000,21640.000000,24513.000000,34,2000,391.000000
1719670726000,1095,15601.000000,15936.500000,18687.500000,21875.000000,25293.000000,24,2000,391.000000
1719670726000,1096,26518.000000,47168.000000,47172.500000,47176.000000,54019.000000,26,2000,391.000000
1719670726000,1097,17354.000000,18987.250000,21143.000000,22849.000000,26255.000000,23,2000,391.000000
1719670726000,1098,14972.000000,18257.250000,20972.000000,22570.500000,25549.000000,17,2000,391.000000
1719670726000,1099,14409.000000,15905.500000,18973.500000,23116.000000,29449.000000,20,2000,391.000000
1719670726000,1100,17810.000000,18790.250000,23135.000000,23761.500000,25209.000000,31,2000,391.000000
1719670726000,1101,14278.000000,15292.750000,20304.000000,23037.000000,28041.000000,23,2000,391.000000
1719670726000,1102,14951.000000,15954.500000,20971.000000,23426.000000,25190.000000,20,2000,391.000000
1719670726000,1103,6040.000000,16100.500000,18851.000000,21315.500000,25207.000000,27,2000,391.000000
1719670726000,1104,13443.000000,14914.500000,17991.000000,21655.000000,26251.000000,24,2000,391.000000
1719670726000,1105,16095.000000,16881.500000,18484.500000,22756.000000,29622.000000,36,2000,391.000000
1719670726000,1106,15418.000000,16487.000000,18912.000000,20979.000000,27909.000000,26,2000,391.000000
1719670726000,1107,15592.000000,16545.000000,17511.000000,22818.000000,43007.000000,29,2000,391.000000
1719670726000,1108,15490.000000,16633.000000,20466.000000,21859.000000,41688.000000,26,2000,391.000000
1719670726000,1109,15171.000000,17517.500000,20937.000000,22850.500000,68330.000000,24,2000,391.000000
1719670726000,1110,6534.000000,17773.500000,19630.000000,23022.000000,28201.000000,28,2000,391.000000
1719670726000,1111,1159.000000,39500.250000,39523.000000,39527.000000,39534.000000,31,2000,391.000000
1719670726000,1112,4930.000000,16787.000000,18704.000000,19891.000000,24665.000000,18,2000,391.000000
1719670726000,1113,38556.000000,38562.250000,38567.000000,38583.500000,38598.000000,19,2000,391.000000
1719670726000,1114,16403.000000,17609.250000,18590.000000,21351.500000,23976.000000,33,2000,391.000000
1719670726000,1115,13570.000000,14770.500000,15821.000000,18116.500000,23665.000000,20,2000,391.000000
1719670726000,1116,3484.000000,15264.500000,17090.500000,19631.000000,24260.000000,28,2000,391.000000
1719670726000,1117,10321.000000,17766.500000,20253.500000,22076.000000,37756.000000,28,2000,391.000000
1719670726000,1118,37619.000000,37621.000000,37624.000000,37630.000000,37635.000000,20,2000,391.000000
1719670726000,1119,3010.000000,18001.000000,18771.000000,23005.000000,24652.000000,30,2000,391.000000
1719670726000,1120,25514.000000,36111.000000,36115.000000,36121.000000,36128.000000,21,2000,391.000000
1719670728000,1090,16150.000000,49558.000000,49565.000000,49576.250000,49587.000000,33,2000,432.000000
1719670728000,1091,1772.000000,49260.500000,49269.000000,49271.000000,49276.000000,32,2000,432.000000
1719670728000,1092,1582.000000,48979.000000,48983.000000,48988.750000,60128.000000,23,2000,432.000000
1719670728000,1093,1438.000000,48616.750000,48624.000000,48626.000000,67817.000000,37,2000,432.000000
1719670728000,1094,15574.000000,16649.000000,18087.000000,21187.500000,44373.000000,33,2000,432.000000
1719670728000,1095,16399.000000,17096.750000,18770.000000,22199.500000,44498.000000,23,2000,432.000000
1719670728000,1096,36069.000000,47171.750000,47174.000000,52785.750000,69807.000000,33,2000,432.000000
1719670728000,1097,665.000000,18530.500000,19680.000000,23155.000000,25562.000000,20,2000,432.000000
1719670728000,1098,17286.000000,20963.000000,21882.000000,22851.000000,24533.000000,22,2000,432.000000
1719670728000,1099,14227.000000,15074.500000,20344.000000,23381.750000,47482.000000,25,2000,432.000000
1719670728000,1100,17453.000000,18721.000000,20519.000000,21638.000000,29564.000000,41,2000,432.000000
1719670728000,1101,9409.000000,15750.000000,19272.000000,23887.750000,29411.000000,29,2000,432.000000
1719670728000,1102,8010.000000,17635.500000,19345.000000,23715.500000,25191.000000,28,2000,432.000000
1719670728000,1103,12906.000000,14670.750000,18172.000000,19716.750000,24651.000000,13,2000,432.000000
1719670728000,1104,13728.000000,16842.500000,19187.000000,21820.250000,24511.000000,23,2000,432.000000
1719670728000,1105,16601.000000,18138.250000,19632.000000,23401.750000,43357.000000,35,2000,432.000000
1719670728000,1106,15430.000000,16478.000000,18048.000000,20260.000000,24387.000000,26,2000,432.000000
1719670728000,1107,669.000000,16448.500000,18401.000000,22384.500000,43010.000000,32,2000,432.000000
1719670728000,1108,17340.000000,17973.000000,23006.000000,23386.500000,23825.000000,12,2000,432.000000
1719670728000,1109,15429.000000,15802.000000,18768.500000,21653.500000,24042.000000,32,2000,432.000000
1719670728000,1110,2058.000000,17084.000000,17767.000000,18761.000000,41045.000000,26,2000,432.000000
1719670728000,1111,4988.000000,39501.000000,39515.000000,39525.000000,39531.000000,30,2000,432.000000
1719670728000,1112,14755.000000,17224.750000,18995.000000,22713.000000,23977.000000,29,2000,432.000000
1719670728000,1113,6402.000000,38558.750000,38565.000000,38580.000000,38597.000000,41,2000,432.000000
1719670728000,1114,16409.000000,17434.500000,18102.000000,21706.750000,38962.000000,31,2000,432.000000
1719670728000,1115,12855.000000,15274.250000,17531.000000,19912.750000,24336.000000,25,2000,432.000000
